province,latitude,longitude
Sicily & Sardinia,39.2564254,39.2564254
Douro,41.453397,41.453397
Oregon,43.9792797,43.9792797
Michigan,43.6211955,43.6211955
Northern Spain,41.3903042,41.3903042
Alsace,48.24917645,48.24917645
Rheinhessen,49.9045181,49.9045181
California,36.7014631,36.7014631
Mosel,49.0207259,49.0207259
Other,60.59913645,60.59913645
Mendoza Province,-13.5577555,-13.5577555
Virginia,37.1232245,37.1232245
Beaujolais,29.7857642,29.7857642
Colchagua Valley,-34.548228,-34.548228
Southern Italy,45.6655518,45.6655518
Maule Valley,43.2233373,43.2233373
Bordeaux,44.841225,44.841225
Maipo Valley,-34.60278525,-34.60278525
Washington,38.8949855,38.8949855
Central Italy,46.0097187,46.0097187
Champagne,45.831944,45.831944
Burgundy,47.27808725,47.27808725
South Australia,-30.5343665,-30.5343665
Tejo,39.7947712,39.7947712
Rapel Valley,-33.9434247,-33.9434247
Galicia,42.61946,42.61946
France Other,48.8652655,48.8652655
Tuscany,43.4586541,43.4586541
Burgenland,47.5000001,47.5000001
New York,40.7127281,40.7127281
Leyda Valley,-33.6121783,-33.6121783
Piedmont,37.8243715,37.8243715
Stellenbosch,-33.934444,-33.934444
Simonsberg-Stellenbosch,-33.883948,-33.883948
Walker Bay,-34.5563889,-34.5563889
Alentejano,38.8420973,38.8420973
Central Spain,42.3730781,42.3730781
Southwest France,46.603354,46.603354
Aconcagua Valley,-32.6531487,-32.6531487
Loncomilla Valley,-28.5256367,-28.5256367
Marlborough,42.3459271,42.3459271
Northeastern Italy,46.83182355,46.83182355
Casablanca Valley,33.5950627,33.5950627
Veneto,45.6476663,45.6476663
Western Cape,-33.546977,-33.546977
Judean Hills,31.666667,31.666667
Alentejo,38.0551003,38.0551003
Coastal Region,14.6775283,14.6775283
Rhône Valley,45.8802348,45.8802348
Galilee,40.3364992,40.3364992
Beira Atlantico,-30.0639267,-30.0639267
Tokaj,48.1235534,48.1235534
Leithaberg,47.88822,47.88822
Santorini,36.4071112,36.4071112
