,Common Name(s),grape_color
0,Abbuoto,red
1,Abouriou,red
2,Alexandroouli,red
3,Akhasheni,red
4,Abrusco,red
5,Acolon,red
6,Ada Karasi,red
7,Affenthaler,red
8,Agiorgitiko,red
9,Aglianico,red
10,Aglianicone,red
11,Agni (grape) [cs],red
12,Agronomica,red
13,Agua Santa,red
14,Aidani Mavro,red
15,Aladasturi,red
16,Albaranzeuli nero,red
17,Albarossa,red
18,Aleatico,red
20,Alexander,red
21,Alfrocheiro,red
22,Alicante Henri Bouschet,red
23,Allegro,red
24,Amaral,red
25,Ancellotta,red
26,André (grape) [cs],red
27,Antey Magarachsky,red
28,Aramon Noir,red
29,Areni,red
30,Argaman,red
31,Argant,red
32,Arinarnoa,red
33,Arinto de Bucelas,red
34,Arnsburger,red
35,Arrouya,red
36,Ashughaji,red
37,Aspiran Bouschet,red
38,Aspiran Noir,red
39,Assario,red
40,Asuretuli Shavi,red
41,Aubun,red
42,Avanà,red
43,Avarengo,red
44,Avgoustiatis,red
45,Băbească neagră,red
46,Babić,red
47,Bachet Noir,red
48,Baco Noir,red
49,Baga,red
50,Barbera,red
51,Barbera del Sannio,red
52,Barbera Sarda,red
53,Barsaglina,red
54,Bastardo Magarachsky,red
55,Beaunoir,red
56,Béclan,red
57,Beichun,red
58,Bekari,red
59,Belat,red
60,Béquignol Noir,red
61,Biborkadarka,red
62,Black Queen,red
63,Blatina,red
64,Blauburger,red
65,Blauer Arbst ,red
65, Pinot Noir,red
66,Blauer Wildbacher,red
67,Blaufränkisch ,red
67, Limberger,red
68,Bobal,red
69,Boğazkere,red
70,Bombino Nero,red
71,Bonamico,red
72,Bonarda Piemontese,red
73,Bonda,red
74,Bondola,red
75,Bondoletta,red
76,Bonvedro,red
77,Borba,red
78,Borracal,red
79,Bouchalès,red
80,Bourrisquou,red
81,Bouteillan Noir,red
82,Bovale Grande,red
83,Bovale Sardo,red
84,Bracciola Nera,red
85,Brachetto del Piemonte,red
86,Brancellao,red
87,Braquet Noir,red
88,Brugnola,red
89,Brujidera,red
90,Brun Argenté,red
91,Brun Fourca,red
92,Brunal,red
93,Brunello,red
94,Bubbierasco,red
95,Buket,red
96,Busuioaca de Bohotin,red
